Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
99-wanban-25-26-aston-villa-away-s-4xl,￥99 wanban-25/26 Aston Villa Away S-4XL,<p>https://weidian.com/item.html?itemID=7775418276</p>,Wanban,Apparel,Apparel,"Wanban, Apparel",TRUE,Size,S,shopify,100,continue,manual,99.00,TRUE,TRUE,https://photo.yupoo.com/3125tiger/fb12a5925e/medium.jpg,1,active
99-wanban-25-26-aston-villa-away-s-4xl,,,,,,,,Size,M,shopify,100,continue,manual,99.00,TRUE,TRUE,,,
99-wanban-25-26-aston-villa-away-s-4xl,,,,,,,,Size,L,shopify,100,continue,manual,99.00,TRUE,TRUE,,,
99-wanban-25-26-aston-villa-away-s-4xl,,,,,,,,Size,XL,shopify,100,continue,manual,99.00,TRUE,TRUE,,,
99-wanban-retro-tottenham-95-97-away-s-xxl,￥99 wanban-Retro Tottenham 95/97 Away S-XXL,<p>https://weidian.com/item.html?itemID=7775379382</p>,Wanban,Apparel,Apparel,"Wanban, Apparel",TRUE,Size,S,shopify,100,continue,manual,99.00,TRUE,TRUE,https://photo.yupoo.com/3125tiger/e9f168d906/small.jpg,1,active
99-wanban-retro-tottenham-95-97-away-s-xxl,,,,,,,,Size,M,shopify,100,continue,manual,99.00,TRUE,TRUE,,,
99-wanban-retro-tottenham-95-97-away-s-xxl,,,,,,,,Size,L,shopify,100,continue,manual,99.00,TRUE,TRUE,,,
99-wanban-retro-tottenham-95-97-away-s-xxl,,,,,,,,Size,XL,shopify,100,continue,manual,99.00,TRUE,TRUE,,,
99-wanban-retro-tottenham-95-97-away-s-xxl,,,,,,,,Size,XXL,shopify,100,continue,manual,99.00,TRUE,TRUE,,,
99-wanban-retro-tottenham-09-10-home-s-xxl,￥99 wanban-Retro Tottenham 09/10 Home S-XXL,<p>https://weidian.com/item.html?itemID=7772451959</p>,Wanban,Apparel,Apparel,"Wanban, Apparel",TRUE,Size,S,shopify,100,continue,manual,99.00,TRUE,TRUE,https://photo.yupoo.com/3125tiger/16f5f342a1/small.jpg,1,active
99-wanban-retro-tottenham-09-10-home-s-xxl,,,,,,,,Size,M,shopify,100,continue,manual,99.00,TRUE,TRUE,,,
99-wanban-retro-tottenham-09-10-home-s-xxl,,,,,,,,Size,L,shopify,100,continue,manual,99.00,TRUE,TRUE,,,
99-wanban-retro-tottenham-09-10-home-s-xxl,,,,,,,,Size,XL,shopify,100,continue,manual,99.00,TRUE,TRUE,,,
99-wanban-retro-tottenham-09-10-home-s-xxl,,,,,,,,Size,XXL,shopify,100,continue,manual,99.00,TRUE,TRUE,,,
99-wanban-retro-manchester-city-19-20-home-s-xxl,￥99 wanban-Retro Manchester City 19/20 Home S-XXL,<p>https://weidian.com/item.html?itemID=7772254995</p>,Wanban,Apparel,Apparel,"Wanban, Apparel",TRUE,Size,S,shopify,100,continue,manual,99.00,TRUE,TRUE,https://photo.yupoo.com/3125tiger/65a60f035d/small.jpg,1,active
99-wanban-retro-manchester-city-19-20-home-s-xxl,,,,,,,,Size,M,shopify,100,continue,manual,99.00,TRUE,TRUE,,,
99-wanban-retro-manchester-city-19-20-home-s-xxl,,,,,,,,Size,L,shopify,100,continue,manual,99.00,TRUE,TRUE,,,
99-wanban-retro-manchester-city-19-20-home-s-xxl,,,,,,,,Size,XL,shopify,100,continue,manual,99.00,TRUE,TRUE,,,
99-wanban-retro-manchester-city-19-20-home-s-xxl,,,,,,,,Size,XXL,shopify,100,continue,manual,99.00,TRUE,TRUE,,,
99-wanban-retro-arsenal-11-12-away-s-xxl,￥99 wanban-Retro Arsenal 11/12 Away S-XXL,<p>https://weidian.com/item.html?itemID=7772396403</p>,Wanban,Apparel,Apparel,"Wanban, Apparel",TRUE,Size,S,shopify,100,continue,manual,99.00,TRUE,TRUE,https://photo.yupoo.com/3125tiger/2003cdce8c/small.jpg,1,active
99-wanban-retro-arsenal-11-12-away-s-xxl,,,,,,,,Size,M,shopify,100,continue,manual,99.00,TRUE,TRUE,,,
99-wanban-retro-arsenal-11-12-away-s-xxl,,,,,,,,Size,L,shopify,100,continue,manual,99.00,TRUE,TRUE,,,
99-wanban-retro-arsenal-11-12-away-s-xxl,,,,,,,,Size,XL,shopify,100,continue,manual,99.00,TRUE,TRUE,,,
99-wanban-retro-arsenal-11-12-away-s-xxl,,,,,,,,Size,XXL,shopify,100,continue,manual,99.00,TRUE,TRUE,,,
99-wanban-retro-m-u-19-20-away-s-xxl,￥99 wanban-Retro M-U 19/20 Away S-XXL,<p>https://weidian.com/item.html?itemID=7772437675</p>,Wanban,Apparel,Apparel,"Wanban, Apparel",TRUE,Size,S,shopify,100,continue,manual,99.00,TRUE,TRUE,https://photo.yupoo.com/3125tiger/524535ad06/small.jpg,1,active
99-wanban-retro-m-u-19-20-away-s-xxl,,,,,,,,Size,M,shopify,100,continue,manual,99.00,TRUE,TRUE,,,
99-wanban-retro-m-u-19-20-away-s-xxl,,,,,,,,Size,L,shopify,100,continue,manual,99.00,TRUE,TRUE,,,
99-wanban-retro-m-u-19-20-away-s-xxl,,,,,,,,Size,XL,shopify,100,continue,manual,99.00,TRUE,TRUE,,,
99-wanban-retro-m-u-19-20-away-s-xxl,,,,,,,,Size,XXL,shopify,100,continue,manual,99.00,TRUE,TRUE,,,
